geo_point_2d;geo_shape;osm_id;couvert;capacite;nom;acces;payant;surveille;type;insee_com;nom_com;date_modif;notes
48.99668789905275,2.0626249999999997;"{""coordinates"": [2.062625, 48.99668789905275], ""type"": ""Point""}";n5818946648;NON;8;;public;NON;NON;arceaux;78382;Maurecourt;2022-12-01T01:00:00+01:00;
48.70338269905079,2.3621577999999994;"{""coordinates"": [2.3621578, 48.70338269905079], ""type"": ""Point""}";n7281941499;OUI;3;;public;NON;NON;arceaux;91027;Athis-Mons;2021-01-01T01:00:00+01:00;
48.915854699052225,2.2816240999999993;"{""coordinates"": [2.2816241, 48.915854699052225], ""type"": ""Point""}";n9423397591;NON;10;;public;NON;NON;arceaux;92004;Asnières-sur-Seine;2022-01-01T01:00:00+01:00;
48.917691799052236,2.351671299999999;"{""coordinates"": [2.3516713, 48.917691799052236], ""type"": ""Point""}";n9148427707;NON;0;;public;NON;NON;arceaux;93066;Saint-Denis;2022-11-01T01:00:00+01:00;
48.75303679905114,2.5052632999999993;"{""coordinates"": [2.5052633, 48.75303679905114], ""type"": ""Point""}";n9924416865;OUI;0;;public;NON;NON;batiment;94004;Boissy-Saint-Léger;2022-08-01T02:00:00+02:00;
48.882809699052,2.2936342999999995;"{""coordinates"": [2.2936343, 48.882809699052], ""type"": ""Point""}";n8650890629;NON;5;;public;NON;NON;autres;75117;17e Arrondissement;2021-08-01T02:00:00+02:00;
48.859219699051835,2.4309389999999986;"{""coordinates"": [2.430939, 48.859219699051835], ""type"": ""Point""}";n7649735322;NON;6;;public;NON;NON;arceaux;93048;Montreuil;2021-03-01T01:00:00+01:00;
48.89074769905204,2.3435233;"{""coordinates"": [2.3435233, 48.89074769905204], ""type"": ""Point""}";n7217051529;NON;28;;public;NON;NON;arceaux;75118;18e Arrondissement;2022-08-01T02:00:00+02:00;
48.83336079905167,2.315660299999999;"{""coordinates"": [2.3156603, 48.83336079905167], ""type"": ""Point""}";n10271227088;NON;6;;public;NON;NON;arceaux;75114;14e Arrondissement;2023-04-01T02:00:00+02:00;
48.71014874535488,2.3252441415991676;"{""coordinates"": [2.325244141599168, 48.71014874535488], ""type"": ""Point""}";w92270120;OUI;0;;clientele;NON;NON;inconnu;91432;Morangis;2023-03-01T01:00:00+01:00;
